Img,title,author,types,status,click_num,intro
https://bookcover.yuewen.com/qdbimg/349573/c_3807279503379403/90,隐婚蜜爱：偏执老公宠上瘾,猪宝宝萌萌哒,现代言情,已完结,551.88万,                        七年前他们分手后，他就忽然消失不见了七年后她婚礼前夕他又突然出现，不顾她已经有未婚夫，用尽手段逼她结婚……于是一本结婚证，灰姑娘被破走上嫁豪门不归之路……霍小姐淡定毒舌加变态高智商秦先生宠妻无度加女儿奴极品宠文一对一，身心干净，欢迎跳坑！                    
https://bookcover.yuewen.com/qdbimg/349573/c_5783093804970003/90,绝世炼丹师：纨绔九小姐,夜北,古代言情,已完结,131.77万,                        她是二十四世纪最强修仙者，却穿越到了一个魔法与妖族横行的世界，成了上有家族欺压迫害，下有渣男未婚夫凌辱践踏的受气包…想虐她？呵呵！她很快就会教他们做人！魔法了不起？五雷轰顶符，送你成渣！药剂很牛掰？一炉丹药，废柴也能变天才！百万雄师很凶残？撒豆成兵，你们慢慢玩！笑看作死者自作孽不可活，顺我者昌 逆我者亡！只是…这个貌美如花的国师大大为啥总是对她“暗送秋波”？某国师：“自己做的事，这会儿就不认账了？”                    
https://bookcover.yuewen.com/qdbimg/349573/c_15316338504324404/90,觉醒后我征服了全世界,孤木双,现代言情,已完结,115.25万,                        第一次见面，她对他说：宋先生，你恐命不久矣他身边人说她是骗子，还威胁要揍她。第二次见面，她对他说：宋先生，你明天就要死了她差点被揍。第三次见面，他在死亡边缘徘徊。***乔今，芳龄二十，性格乖糯，自杀后性格大变，神神叨叨又爱装逼。人称——神经病宋砚青，芳龄二十五，出生尊贵，一生不凡，命格极弱，身体也弱，走两步咳一步，在乔今的眼里，是个短命相。这是一个神经病遇上短命鬼的惊天爱情故事（虚假）装逼不翻车大佬X腹黑如玉羸弱贵公子大佬                    
https://bookcover.yuewen.com/qdbimg/349573/c_3143506701855002/90,君九龄,希行,古代言情,已完结,194.72万,                        太康三年冬，阳城北留镇宁家来了一个上门认亲的女孩子；被拒婚之后，女孩子决定在宁氏家门前以死明志；当死了的女孩子再次睁开眼；很多人的命运就此翻天覆地。                    
https://bookcover.yuewen.com/qdbimg/349573/c_9248667104061903/90,时光和你都很美,叶非夜,现代言情,已完结,117.69万,                        婚后的林嘉歌，没多久就被时瑶逐出家门了，他为了回家，用尽所有的方法都没能成功，最后将目光放在了小包子的身上。小包子听完林嘉歌的提议，和他勾了勾手指，软萌萌的回：“合作愉快！”于是——小包子收到机器人的当晚，把时瑶骗到餐厅，偷偷对林嘉歌说：“爹地，妈咪陪你吃饭。”小包子收到奥特曼的当晚，把时瑶骗到游泳馆，偷偷对林嘉歌说：“爹地，妈咪陪你游泳。”                    
https://bookcover.yuewen.com/qdbimg/349573/c_12135613204254303/90,都市极品医神,风会笑,都市,连载中,1413.11万,                        【火爆爽文】五年前，废物叶辰犹如地上蠕虫般被人耻笑！但是五年后，他带着一百位上古大能回来了！吊打一切，谁与争锋！                    
https://bookcover.yuewen.com/qdbimg/349573/c_22246296000281002/90,完美世界,辰东,玄幻,已完结,658.74万,                        　　一粒尘可填海，一根草斩尽日月星辰，弹指间天翻地覆。　　群雄并起，万族林立，诸圣争霸，乱天动地。问苍茫大地，谁主沉浮？！　　一个少年从大荒中走出，一切从这里开始……　　                    
https://bookcover.yuewen.com/qdbimg/349573/c_10268371804937803/90,哥哥们都是天才唯我废柴,白天,古代言情,已完结,665.45万,                        　　作为世人眼中柔柔弱弱的她，她其实觉得挺冤枉的。明明她很强，还强的逆天好么。　　世人皆知，丞相府的废柴五小姐有四个把她宠上天的强大哥哥，忽然有天哥哥们都失踪了。早就对她羡慕嫉妒恨的一干人等觉得落井下石的机会来了，个个争先恐后的出手，结果被虐的鬼哭狼嚎。五小姐柔弱的笑了笑，哎呀，大腿没了，我自己当大腿就行了啊。这时候世人才知，娇滴滴的小白花，切开都是黑的，根本就是食人花啊，惹不起惹不起。　　五小姐拳打南山猛虎，脚踢北海蛟龙，强到爆炸。这年头碰瓷的见多了，但是碰瓷救命之恩的还真是第一次。俊美男子碰瓷救命之恩一定要以身相许给五小姐，五小姐表示，我可以不接受吗？俊美男子摇头，当然不可以！                    
https://bookcover.yuewen.com/qdbimg/349573/c_7001667504451303/90,亿万星辰不及你,叶非夜,现代言情,已完结,109.24万,                        “一年后，我们离婚，互不干扰。”季忆之所以答应贺季晨假结婚，是因为她坚信完美情人贺季晨绝对不会爱上她。婚后假戏真做不说，一年后，别说是离婚，就连离家都没门。惹不起，我跑还不行？季忆爬窗离家出走。就在她沾沾自喜的以为自己终于逃出魔爪的第二天，她走到哪里，都有人弯腰对着她说：贺太太，贺先生在那里等你。-原书名《大神引入怀》                    
https://bookcover.yuewen.com/qdbimg/349573/c_22358948000245102/90,校花的贴身高手,鱼人二代,都市,连载中,1967.74万,                        传奇杀手回归都市，奉旨保护校花！我是校花的贴身高手，你们最好离我远一点，不然大小姐又要吃醋了！【鱼宝宝书友1群 333702438（已满），鱼宝宝书友2群 417723151】                    
